epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.20534,1.46227,2.81431,1.81782,0.62236,0.86325,0.88748,0.61134,1.39394,1.34621,1.25466,0,0,0
2,12.5732,1.14068,3.03891,1.42976,0.5583,0.83333,0.87214,0.61048,1.41751,1.36422,1.26671,1.17822e-06,1.17822e-06,1.17822e-06
3,15.7821,1.52439,4.58862,1.79214,0.56721,0.83333,0.87216,0.61876,1.43625,1.40281,1.2785,2.33288e-06,2.33288e-06,2.33288e-06
4,19.0739,1.22763,2.88185,1.37396,0.54693,0.83932,0.87233,0.61173,1.44685,1.42151,1.28194,3.46397e-06,3.46397e-06,3.46397e-06
5,22.2599,1.30654,2.67228,1.58107,0.56477,0.83333,0.87227,0.60877,1.45933,1.4472,1.28894,4.5715e-06,4.5715e-06,4.5715e-06
6,25.4707,1.78728,4.5004,2.08381,0.87997,0.56667,0.87219,0.60868,1.47468,1.49447,1.30228,5.65548e-06,5.65548e-06,5.65548e-06
7,28.6807,1.40274,2.11818,1.58024,0.87622,0.56667,0.8862,0.60582,1.49743,1.52532,1.31445,6.71588e-06,6.71588e-06,6.71588e-06
8,31.9336,1.34685,3.49109,1.68146,0.87358,0.56667,0.88781,0.58776,1.52096,1.58513,1.33966,7.75273e-06,7.75273e-06,7.75273e-06
9,35.6127,1.22052,2.92198,1.46319,0.86703,0.56667,0.80535,0.54431,1.53926,1.6343,1.34927,8.76602e-06,8.76602e-06,8.76602e-06
10,39.9851,1.04105,3.34529,1.55231,0.8539,0.56667,0.76661,0.5615,1.54971,1.69183,1.36493,9.75574e-06,9.75574e-06,9.75574e-06
11,44.1359,1.28074,2.84047,1.5417,0.84633,0.56753,0.74908,0.55326,1.55916,1.72052,1.36787,1.07219e-05,1.07219e-05,1.07219e-05
12,48.8201,1.04034,2.0754,1.40706,0.8403,0.5724,0.7501,0.54502,1.56103,1.74626,1.37112,1.16645e-05,1.16645e-05,1.16645e-05
13,53.031,1.10878,2.59342,1.35242,0.83455,0.57626,0.75022,0.56171,1.55894,1.75809,1.37062,1.25835e-05,1.25835e-05,1.25835e-05
14,57.6603,1.33627,2.78375,1.7256,0.8003,0.58333,0.75021,0.56993,1.54883,1.77646,1.36496,1.3479e-05,1.3479e-05,1.3479e-05
15,62.7422,1.08357,2.1978,1.26705,0.78414,0.58333,0.7502,0.56914,1.5312,1.77939,1.35475,1.43509e-05,1.43509e-05,1.43509e-05
16,66.6215,1.11711,2.22557,1.52453,0.77227,0.58333,0.75029,0.57651,1.53175,1.79541,1.35626,1.51993e-05,1.51993e-05,1.51993e-05
17,71.0632,0.88973,2.04333,1.21855,0.78492,0.58333,0.7502,0.55977,1.52434,1.80592,1.35653,1.60241e-05,1.60241e-05,1.60241e-05
18,75.961,1.27996,2.01674,1.51918,0.78492,0.58333,0.7502,0.55977,1.52434,1.80592,1.35653,1.68253e-05,1.68253e-05,1.68253e-05
19,80.7299,1.00999,1.96725,1.22067,0.80756,0.41667,0.75103,0.56001,1.53745,1.82941,1.3641,1.7603e-05,1.7603e-05,1.7603e-05
20,84.6773,1.04682,1.82532,1.30218,0.80756,0.41667,0.75103,0.56001,1.53745,1.82941,1.3641,1.83571e-05,1.83571e-05,1.83571e-05
21,88.6168,1.36684,3.0341,1.70179,0.95079,0.3873,0.75006,0.54145,1.54215,1.85682,1.35905,1.90876e-05,1.90876e-05,1.90876e-05
22,92.4131,1.55462,2.97782,1.84963,0.95079,0.3873,0.75006,0.54145,1.54215,1.85682,1.35905,1.97946e-05,1.97946e-05,1.97946e-05
23,96.5898,1.03717,2.1503,1.50642,0.94959,0.38726,0.66677,0.48462,1.53993,1.88764,1.3585,2.0478e-05,2.0478e-05,2.0478e-05
24,101.262,1.1079,2.56716,1.57748,0.94959,0.38726,0.66677,0.48462,1.53993,1.88764,1.3585,2.11379e-05,2.11379e-05,2.11379e-05
25,105.365,1.01384,2.08245,1.36254,0.77855,0.38739,0.62881,0.47186,1.5694,1.93728,1.38041,2.17741e-05,2.17741e-05,2.17741e-05
26,109.098,1.02387,1.99533,1.39282,0.77855,0.38739,0.62881,0.47186,1.5694,1.93728,1.38041,2.23869e-05,2.23869e-05,2.23869e-05
27,113.022,0.8583,1.94602,1.36109,0.77715,0.38694,0.59511,0.48063,1.58333,1.99447,1.39689,2.2976e-05,2.2976e-05,2.2976e-05
28,117.032,0.87272,1.38114,1.20253,0.77715,0.38694,0.59511,0.48063,1.58333,1.99447,1.39689,2.35417e-05,2.35417e-05,2.35417e-05
